,energy,event_morphology,drlogl,ra,dec
0,44729.695,Shower,-0.023428092,0.8217592,0.11378086
1,101722.3,Shower,-0.033502504,3.391436,-0.15843026
2,67136.5,Track,-0.93658584,2.231976,-0.6050689
3,144204.58,Shower,0.030817991,2.89947,-0.83245194
4,29600.297,Shower,-0.018292092,0.08632578,0.23668148
5,19719.76,Track,-2.3884077,3.1638415,-0.3709753
6,55321.05,Shower,-0.01065745,2.392781,0.6775408
7,83561.04,Shower,-0.1047837,0.21443474,-0.106719196
8,79761.805,Shower,-0.034922417,2.5906293,0.14145473
9,78448.91,Shower,-0.07454255,5.1321554,-0.87968504
10,255581.23,Track,-1.3011957,1.2386636,0.69976735
11,942578.4,Shower,0.0048194584,4.686571,-0.4421343
12,53827.46,Shower,-0.4596189,0.58702445,-1.3452429
13,27114.434,Shower,0.017079225,2.7678576,-0.31464967
14,173575.6,Shower,-0.067871064,4.1857395,0.3921507
15,33121.773,Track,-2.1501622,6.0493083,-0.43114683
16,64047.215,Shower,-0.011189525,1.503175,-1.2126492
17,1193096.9,Shower,0.06841599,0.64520675,-1.1534078
18,27355.457,Shower,0.017007884,1.156137,-0.47456312
19,194737.84,Shower,-0.025065945,5.22561,-0.24196859
20,81364.59,Track,-0.63023984,3.6190338,-0.28497565
21,26638.078,Shower,0.016709844,4.424169,-0.18719015
22,35887.84,Shower,-0.4152429,1.1860509,-0.18184705
23,168316.34,Shower,0.017015154,2.7687445,0.4699893
24,51042.066,Shower,-0.038612146,2.1252322,-0.35020867
25,47699.125,Track,-2.797685,2.8926778,-1.2313738
26,29447.152,Shower,-0.028835056,5.273434,0.796253
27,121181.914,Shower,-0.004356574,1.9727392,-1.3570366
28,35328.402,Shower,-0.050231885,4.020431,0.7664309
29,302198.4,Shower,-0.0020842142,4.989859,0.1610637
30,40240.477,Shower,-0.059151147,0.10715328,0.38095945
31,2074963.1,Shower,-0.026470652,4.290588,-0.9026534
32,25469.158,Shower,0.05104758,4.282944,0.100454286
33,24099.504,Track,-6.63946,2.950465,0.36108157
34,167372.55,Track,-4.195228,1.6302724,0.28812546
35,94405.83,Shower,0.040673617,2.508285,-0.46356428
36,138372.14,Shower,0.11982132,2.8157825,-0.5655615
37,73717.01,Shower,-0.012954084,1.3058722,0.045773808
38,29446.205,Shower,-0.22606893,3.8473892,-0.42949668
39,70793.59,Track,-0.845796,5.883715,-0.009264876
40,320395.72,Track,-19.553354,3.882865,-1.5006334
41,136868.19,Shower,-0.014578875,2.779506,-0.26143286
42,62983.625,Shower,-0.28213522,3.5613596,1.0140584
43,99209.82,Shower,-0.058090143,3.612332,-0.38887057
44,55050.207,Shower,-0.1656523,2.4632957,-0.6758563
45,20261.828,Shower,-0.028303638,2.3692446,1.0955069
46,57254.07,Shower,-0.015898151,1.2961106,0.8803892
47,138347.9,Shower,-0.020780763,4.2939615,-0.91579896
48,45508.66,Shower,-0.006225113,2.8456986,0.36399838
49,103131.61,Shower,-0.0045869383,4.7753353,-0.8189167
