,nu_e,nu_mu,nu_tau
10476.157527896663,0.0,0.0,0.0
11768.119524349991,0.0,0.0,0.0
13219.411484660288,0.0006502339926260957,0.0,0.0
14849.682622544635,0.0016550299958049085,0.0,0.00016386538301005246
16681.005372000593,0.005214048978119189,0.0002306889441464569,0.0009095542641133162
18738.17422860383,0.02206614132591116,0.001209858628907234,0.002557627376411443
21049.04144512022,0.04313646605810931,0.004113050127791918,0.009679128508004864
23644.894126454074,0.09363171614388012,0.006964184177629545,0.016493668027973644
26560.87782946684,0.158180185630313,0.013907242070439654,0.04691135929859581
29836.472402833402,0.2590696017053891,0.030708656879316377,0.07840526432930969
33516.02650938841,0.3902205836902172,0.054081762475966084,0.13114139853196122
37649.35806792471,0.5537046550762906,0.08237426695815861,0.22634012857964111
42292.42874389499,0.774678142692856,0.12967245000192235,0.341698482769476
47508.101621027934,1.092295892979131,0.21692461436597205,0.5070056230898896
53366.99231206302,1.6160331450599066,0.2910944497047742,0.6878998568895438
59948.42503189409,2.11492615822131,0.45236749942719773,0.9611266637819709
67341.50657750828,2.8269413325943495,0.6542749713366703,1.425660721311512
75646.3327554629,3.4409509304186345,0.8911181398606428,1.7512501140790602
84975.34359086439,4.221090935729468,1.235720070365256,2.431535328003744
95454.84566618328,5.163777288336692,1.6503956414162724,2.9693246016616563
107226.72220103232,6.226608520538089,2.0319055627764318,3.815819357980573
120450.35402587836,6.998539622538851,2.4922523602782074,4.610028085848417
135304.77745798076,8.131027772319317,3.141903028589347,5.562448807954925
151991.10829529332,8.956552396274985,4.035818019867509,6.332682532780115
170735.26474706887,9.819176806150171,4.684120198537978,7.785107235871236
191791.02616724887,10.647793446897163,5.759203663952943,8.420234440785176
215443.46900318866,11.452863413148565,6.551858111483467,9.57594854639656
242012.82647943834,12.527706258913218,7.890312373701703,10.71077366992081
271858.824273294,13.476125704229883,8.740547646910668,11.707366834861588
305385.55088334123,14.8548831701884,10.040159897699054,13.427793023507617
343046.9286314919,15.39381147991704,10.869736079922923,14.414752603550564
385352.85937105276,16.953660702158288,12.413542465085959,15.142567111936218
432876.12810830615,17.959391146112477,13.595216013342931,17.573067738498633
486260.1580065353,19.047812369078297,14.734294388445301,17.929177601534995
546227.7217684337,20.32773776510393,16.42483938186232,19.685143008973327
613590.7273413163,21.891248247284192,18.27936547798768,20.522049247315135
689261.2104349695,22.323655216961072,20.198013424196105,22.45261055664118
774263.6826811278,23.61969747404438,21.118502508294995,24.28165229509829
869749.0026177834,24.28644849555876,22.76123138048268,25.732885420612526
977009.9572992247,27.328052058481553,23.854133089715905,28.6007046824967
1097498.7654930567,28.536929179515568,26.830585973748203,29.829536443244027
1232846.7394420658,30.132170129360166,28.085885996256,31.78735211636029
1384886.3713938717,31.41380320076693,30.333657292288752,34.76869554406081
1555676.1439304722,33.86186512933889,31.236377260006492,35.30845602550607
1747528.4000076829,36.81005892601514,34.365680812109694,36.69030494465168
1963040.6500402724,37.51907007089669,34.79099713655265,41.575833378123285
2205130.739903046,40.20880968450312,37.169922365636516,43.29929958391751
2477076.355991709,42.66698257359246,38.44596538682937,46.08421015444494
2782559.402207126,45.55745209779376,43.40426889087822,42.30023522020162
3125715.849688235,45.882946153913956,43.31550149121627,48.86254556598686
3511191.7342151273,52.832331123703966,47.99080696323433,53.683506027123684
3944206.059437656,56.90598011148615,49.65085825250234,55.113947760905916
4430621.457583877,64.66661614121477,51.26039374428122,56.7901621986239
4977023.564332114,77.53462145825638,53.83326548191693,61.96217338297034
5590810.182512223,132.25834298779228,56.81785547624887,64.72307784835866
6280291.441834247,883.8434804994557,58.82736542088854,71.14368846963258
7054802.310718645,945.0316886733862,60.72858793975819,76.29679212537076
7924828.98353917,140.47117954124255,65.04822467922646,73.93711424181218
8902150.854450393,88.45789442841539,64.65554668262739,80.66287395028961
10000000.0,84.89621456943398,71.6473797573797,84.83247577181879
