,nu_e,nu_mu,nu_tau
10115794542599.004,66.89989461222149,73.66324619340048,71.83269109194998
10351421666793.451,64.13132174886815,70.60621535427693,68.85366058690221
10592537251772.896,61.46956113702302,67.66613268241025,65.98883978195855
10839269140212.04,58.91056973112821,64.83865618454658,63.23396743500677
11091748152624.01,56.45046098517644,62.119609150200674,60.58494521185888
11350108156723.143,54.085498815517425,59.50497380231779,58.03783142128012
11614486138403.414,51.81209177723666,56.990885169377385,55.58883496936279
11885022274370.164,49.62678744990396,54.57362517623527,53.234309530130695
12161860006463.703,47.52626702738741,52.24961694945202,50.970747927832775
12445146117713.87,45.50734010217606,50.01541932683284,48.794776720840616
12735030810166.629,43.566939639056706,47.86772156636054,46.70315098223532
13031667784523.0,41.70211713359226,45.80333825075074,44.692749273100226
13335214321633.24,39.91003794673828,43.819204377611484,42.760568798861954
13645831365889.238,38.187976812035835,41.91237063248033,40.90372074572697
13963683610559.363,36.53331351020133,40.07999883926391,39.119425791815345
14288939585111.008,34.943528704160876,38.319357580305535,37.405009785437656
14621771744567.152,33.416199930199404,36.62781798176238,35.757899586192195
14962356560944.36,31.94899774145242,35.002849660574654,34.17561906514962
15310874616820.318,30.539681996828108,33.442016825089624,32.655785256463304
15667510701081.502,29.18609829150208,31.942974525352323,31.196104656452256
16032453906900.418,27.886174524561657,30.503465048456263,29.794369665599568
16405897731995.387,26.637917599011356,29.121314453579764,28.44845516824971
16788040181225.59,25.439410249501133,27.79442924179165,27.156315245164336
17179083871575.86,24.288807993226676,26.52079315548236,25.9159800139524
17579236139586.895,23.18433620040287,25.29846410383778,24.725552593788706
17988709151287.91,22.124287279653856,24.125571209148312,23.58320618936252
18407720014689.582,21.107017973927707,23.000311969115444,22.487181289339407
18836490894898.02,20.130946763572677,21.92094953176996,21.43578297595768
19275249131909.367,19.19455137254564,20.885810078628815,20.427378341480072
19724227361148.535,18.296366373498063,19.893280311434253,19.460394006953372
20183663636815.598,17.434980888434424,18.941805039071063,18.53331373989967
20653801558105.27,16.60903638151049,18.029884861128792,17.644676167434127
21134890398366.434,15.817224540140042,17.156073943939756,16.793072580732094
21627185237270.246,15.058285241137382,16.318977885763523,15.977144827532364
22130947096056.41,14.331004598856975,15.517251668000654,15.19558328958139
22646443075930.617,13.634213091854896,14.749597688786114,14.447124941416625
23173946499684.797,12.966783765427953,14.01476387637506,13.730551487887034
23713737056616.55,12.32763050661172,13.311541878688622,13.044687576836607
24266100950824.145,11.715706389459955,12.63876532704436,12.388399084921579
24831331052955.68,11.130002087238783,11.995308170464973,11.760591473020032
25409727055493.01,10.569544349642973,11.3800830789271,11.160208209527495
26001595631652.668,10.033394541864562,10.792039912170159,10.586229258215397
26607250597988.14,9.520647243776969,10.230164252597728,10.037669629112589
27227013080779.156,9.030428906672267,9.693475999649998,9.513577989804396
27861211686297.723,8.561896565398492,9.181028023572237,9.013035335053226
28510182675039.098,8.114236604032914,8.691904876848078,8.535153712973536
29174270140011.66,7.686663573047599,8.22522156131241,8.07907500576014
29853826189179.57,7.278419056234415,7.780122349333955,7.643969763326394
30549211132155.094,6.88877058556537,7.355779657311971,7.229036088077886
31260793671239.492,6.517010602527161,6.9513929701867045,6.833498569477381
31988951096914.04,6.162455464304243,6.566187815403607,6.456607266822612
32734069487883.863,5.824444493425928,6.1994147850640955,6.097636738937284
33496543915782.793,5.502339069584368,5.850348605066823,5.755885119552035
34276778654645.047,5.195521762358136,5.51828725005665,5.430673237169149
35075187395256.793,4.903395503736505,5.202551103145764,5.121343778355341
35892193464500.5,4.625382799359962,4.902482159359835,4.827260493403848
36728230049808.42,4.360924977528562,4.617443271884181,4.5478074434326405
37583740428844.35,4.109481475050669,4.346817440144018,4.282388287961117
38459178204535.43,3.870529159150585,4.090007138888403,4.030425612145786
39355007545577.805,3.643561684643762,3.8464336873472296,3.7913602927792773
40271703432545.945,3.428088885681701,3.6155366575794794,3.5646509022177204
41209751909733.04,3.2236362014141444,3.396773321093896,3.3497731493865195
42169650342858.23,3.0297441349380065,3.1896181327583575,3.146219356972898
43151907682776.5,2.8459677449407472,2.993562250955774,2.953497973881122
44157044735331.21,2.6718761694489004,2.8081130928397,2.77113312195066
45185594437492.17,2.507052181064139,2.632793923387845,2.5986641758167845
46238102139925.94,2.351091773071899,2.467143476840855,2.4356453747130904
47315125896148.125,2.20360377572438,2.31071560888678,2.281645464827558
48417236758409.99,2.0642095019368503,2.163078977759725,2.1362473706672107
49545019080479.055,1.9325424215365639,2.0238167521932784,1.999047893693811
50699070827470.445,1.808247863051108,1.892526343887976,1.869657436247417
51880003892896.09,1.6909827418907168,1.7688191619255067,1.7476997485746617
53088444423098.79,1.5804153135475054,1.652320386235105,1.63281169647856
54325033149243.25,1.4762249502622997,1.542668757018752,1.524643046916625
55590425727040.26,1.3781019393192817,1.439516376733161,1.422856268572116
56885293084384.25,1.2857473008954305,1.3425285210613203,1.327126344241606
58210321777087.22,1.1988726230915394,1.2513834551169145,1.2371405916646692
59566214352901.09,1.1171999115024345,1.165772251056973,1.1525984893010803
60953689724016.94,1.0404614504023677,1.0853986032629062,1.07321150347544
62373483548241.914,0.9683996723731555,1.0099786373568178,0.9987029133212457
63826348619054.83,0.9007670329951226,0.9392407095375046,0.9288076300598539
65313055264747.164,0.8373258870734258,0.8729251930652109,0.8632720073614588
66834391756861.35,0.7778483628095189,0.8107842491946803,0.8018536398607086
68391164728143.07,0.7221162303641246,0.7525815804454664,0.7443211473377049
69984199600227.45,0.6699207614180052,0.6980921647911047,0.6904539426209318
71614341021290.27,0.6210625766340968,0.6471019701238755,0.6400419819108399
73282453313890.44,0.5753514783546043,0.5994076491551461,0.5928854969207029
74989420933245.58,0.5326062664467055,0.5548162157290129,0.5487947089800413
