,nu_e,nu_mu,nu_tau
10057730630017.371,70.03728047884425,77.23449178672158,75.28624494097372
10174193661806.057,68.58007210722363,75.62239766159445,73.71603663667196
10292005271944.266,67.15105906460064,74.04123110963766,72.17601765983684
10411181076233.396,65.74970599677606,72.49041627467722,70.66562309623393
10531736871297.182,64.3754879421907,70.9693883027757,69.18429886899122
10653688636675.629,63.02789012916233,69.47759312690164,67.73150152666489
10777052536943.234,61.70640778198272,68.01448726255461,66.30669804169673
10901844923851.268,60.41054592984639,66.57953760619368,64.90936561168334
11028082338495.53,59.139819215551924,65.17222123228203,63.53899145957277
11155781513508.508,57.89375171081872,63.79202519836771,62.19507264151544
11284959375277.621,56.67187673409097,62.438446352566956,60.877115857140396
11415633046188.436,55.47373667076402,61.11099114329975,59.58463726212973
11547819846894.582,54.29888279665262,59.80917543258613,58.31716228426828
11681537298613.268,53.14687510531261,58.53252431360312,57.07422544364397
11816803125447.83,52.017282138625774,57.28057193174971,55.855370176290535
11953635256737.201,50.909680819099506,56.05286130722173,54.66014865939526
12092051829432.072,49.82365628613383,54.848944162058984,53.48812164084292
12232071190499.326,48.758801734974035,53.668380749963944,52.338858271507945
12373711899353.506,47.714718258617545,52.510739689375434,51.21193594072072
12516992730317.256,46.69101469202206,51.37559779869561,50.10694011392641
12661932675109.418,45.687307460249144,50.26253993623452,49.02346417485121
12808550945362.785,44.703220428193944,49.1711588413393,47.96110926896057
12956866975170.217,43.73838475385582,48.10105497964493,46.919484150882695
13106900423660.76,42.79243874359358,47.051836390180455,45.89820503372198
13258671177605.607,41.865027711313566,46.023118537124844,44.89689544282888
13412199354053.695,40.9558038382556,45.014524161511815,43.915186069693036
13567505302998.625,40.06442603669681,44.02568313760544,42.95271463030441
13724609610075.598,39.190559817043486,43.0562323331105,42.00912572722845
13883533099290.457,38.333877154696985,42.10581546830643,41.08407071083349
14044296835779.502,37.494056362186804,41.17408298170581,40.177207546704054
14206922128601.816,36.670781962055656,40.26069189593167,39.28820068341604
14371430533563.928,35.86374456277077,39.36530568710394,38.41672092369086
14537843856076.605,35.0726407364452,38.48759415588931,37.562445297251905
14706184154045.62,34.29717289986373,37.627233302476455,36.72505693743933
14876473740795.0,33.537049196754566,36.783905202466585,35.9042449588284
15048735188025.145,32.79198338266877,35.95729788573624,35.09970433772206
15222991328804.172,32.06169471231254,35.14710521789962,34.31113579520279
15399265260594.92,31.34590782870925,34.35302678367549,33.538245682069046
15577580348316.05,30.644352654497652,33.57476777248158,32.780745865973955
15757960227439.234,29.956764285718666,32.812038866801544,32.038353621260065
15940428807122.197,29.28288288718271,32.06455613206482,31.31079152032475
16125010273377.4,28.62245359008031,31.33204090899229,30.597787327391405
16311729092278.396,27.97522639168834,30.61421970816064,29.89907389446585
16500610013202.252,27.340956056774008,29.910824106296023,29.214389059013264
16691678072110.582,26.71940202122202,29.221590644985955,28.543475544000614
16884958594867.498,26.11032829731479,28.546260731095714,27.88608085962956
17080477200597.078,25.513503380998667,27.884580539274836,27.241957207131115
17278259805078.662,24.928700160865763,27.236300916271077,26.610861384342904
17478332624182.174,24.355695829140352,26.601177287393035,25.992554693396016
17680722177343.215,23.79427179424622,25.97896956460535,25.386802850020423
17885455291077.695,23.244213595258547,25.369442056612932,24.793375894810993
18092559102538.22,22.705310817576756,24.77236338012925,24.212048105687494
18302061063110.53,22.17735701117828,24.18750637409464,23.642597913204913
18513988942052.723,21.660149609661342,23.614648014480252,23.084807816504178
18728370830175.523,21.15348985122675,23.053569331227187,22.538464301344966
18945235143565.914,20.657182701354948,22.50405532699062,22.003357759913946
19164610627353.89,20.171036776732297,21.965894897118734,21.47928241187159
19386526359522.06,19.69486427114757,21.438880751812,20.966036227522554
19611011754760.496,19.228480882328657,20.92280933911491,20.463420851847534
19838096568365.03,18.771705740612855,20.417480769941413,19.97124153051484
20067810900181.9,18.32436133894375,19.92269874445106,19.489307037236077
20300185198596.805,17.886273464412987,19.438270480093237,19.01742960275671
20535250264571.46,17.4572711308719,18.96400664066359,18.555424844874285
20773037255725.67,17.037186513193447,18.4997212672096,18.10311170025222
21013577690467.47,16.62585488275051,18.045231710140925,17.66031235744144
21256903452171.098,16.223114544108732,17.600358562621274,17.226852191165506
21503046793402.543,15.82880677323185,17.164925595592184,16.802559698205407
21752040340195.246,15.442775756733587,16.738759693852813,16.38726643433788
22003917096373.953,15.064868532345695,16.321690793404322,15.980806952525242
22258710447930.055,14.694934930762384,15.913551820296535,15.583018742573586
22516454167446.133,14.332827518458426,15.514178630438003,15.193742171757151
22777182418573.22,13.978401541933993,15.123409950985561,14.812820426981116
23040929760558.492,13.631514872758055,14.741087322484791,14.440099457708055
23307731152826.363,13.292027953971303,14.367055042506417,14.075427920343696
23577621959612.57,12.959803747520942,14.001160110370385,13.718657123695321
23850637954651.027,12.634707682679029,13.643252172868984,13.369640975425053
24126815325916.35,12.31660760570148,13.293183471377155,13.028235929850936
24406190680419.76,12.00537373029356,12.950808789747134,12.694300936538347
24688801049062.09,11.700878589181086,12.61598540339887,12.36769739006293
24974683891541.484,11.402996986707498,12.288573029528047,12.04828908086651
25263877101318.957,11.111605952394177,11.968433778326457,11.735942147112176
25556419010641.42,10.826584695352496,11.655432105095745,11.430525027421535
25852348395621.887,10.547814559798683,11.349434763577461,11.131908414797792
26151704481379.996,10.275178981299016,11.050310760027404,10.839965211289382
26454526947240.46,10.008563444058547,10.757931308441053,10.554570483775807
26760855931993.332,9.747855439039268,10.472169786662555,10.275601420622426
27070732039213.52,9.492944422948135,10.192901693442607,10.00293728926301
27384196342643.613,9.243721778051295,9.920004606365179,9.736459394639608
27701290391637.387,9.000080772886795,9.653358140790871,9.476051038627336
28022056216667.453,8.761916523739975,9.392843909591356,9.22159748024259
28346536334896.71,8.529125956959007,9.1383454838329,8.972985896771108
28674773755813.133,8.30160777205216,8.88974835429166,8.730105345714303
29006811986931.562,8.079262405568995,8.646939893846302,8.492846727587839
29342695039559.645,7.861991995736636,8.4098093206963,8.26110274952691
29682467434632.43,7.649700347865785,8.178247662425255,8.034767889716253
30026174208612.613,7.442292900497773,7.9521477209024205,7.81373836263227
30373860919461.043,7.239676692282095,7.731404037977498,7.597912085061484
30725573652674.516,7.041760329566739,7.515912861986914,7.387188642903937
31081359027394.734,6.84845395469439,7.3055721150349235,7.181469258732838
31441264202587.992,6.659669215016728,7.100281361095806,6.980656760147545
31805336883295.17,6.475319232569405,6.899941774847947,6.784655548839265
32173625326956.008,6.2953185744441384,6.704456111303374,6.59337157042568
32546178349804.535,6.119583223824388,6.513728676186046,6.406712285011363
32923045333340.656,5.948030551683031,6.327665297063174,6.224586638476645
33304276230874.7,5.780579289143994,6.146173295240196,6.046905034503265
33689921574149.062,5.617149500443191,5.96916145832364,5.873579307249306
34080032480036.55,5.457662556591952,5.7965400136119865,5.7045226948182854
34474660657314.91,5.30204110961961,5.628220602135446,5.539649813358254
34873858413521.875,5.150209067439461,5.464116253418434,5.378876631856711
35277678661887.34,5.002091569379503,5.304141361014658,5.222120447678954
35686174928348.13,4.85761496225459,5.148211658660522,5.069299862703882
36099401358641.59,4.716706777089449,4.99624419718606,4.920334760188405
36517412725483.77,4.57929570641851,4.848157322092437,4.775146282274046
36940264435828.414,4.4453115821819065,4.703870651823685,4.633656808161156
37368012538211.555,4.314685354218587,4.563305056727535,4.495789932947163
37800713730181.164,4.187349069324996,4.426382638675092,4.3614704470983074
38238425365811.23,4.063235850902359,4.293026711358165,4.230624316574707
38681205463305.25,3.9422798791727285,4.163161781247654,4.103178663591309
39129112712685.24,3.8244163719740207,4.036713529220412,3.9790617480228407
39582206483572.266,3.709581566107833,3.9136087928189323,3.858202949419644
40040546833054.555,3.597712699253794,3.7937755491631107,3.740532749652106
40504194513649.305,3.48874799245286,3.677142898510271,3.6259827161815457
40973210981354.22,3.3826266331244823,3.563641048422024,3.514485485917792
41447658403793.88,3.279288758656317,3.453201298574646,3.4059747497006314
41927599668460.59,3.178675440522434,3.3457560261637904,3.3003852373573173
42413098391048.766,3.0807286689645075,3.241238671932262,3.197652703366356
42904218923888.57,2.9853913381971275,3.1395837267741236,3.0977139130829503
43401026364474.31,2.892607232161979,3.0407267189364573,3.000506629548301
43903586564094.47,2.8023210108066086,2.9446042017812317,2.9059696008487634
44411966136558.98,2.7144781968985265,2.8511537421183992,2.81404254803585
44926232467029.32,2.629025163359848,2.7603139090762623,2.724666153578256
45446453720950.94,2.545909121116687,2.6720242635004925,2.637782050338025
45972698853087.18,2.46507810747505,2.5862253478835298,2.553332811075262
46505037616660.68,2.3864809749937,2.5028586767785157,2.471261938439919
47043540572597.555,2.310067380864571,2.421866727701207,2.3915138554560063
47588279098881.71,2.235787776785616,2.343192932490072,2.314033896472383
48139325400014.38,2.163593399322737,2.2667816691087324,2.238768298567636
48696752516586.31,2.0934362607458175,2.192578253860516,2.1656641933829333
49260634334957.81,2.025269140343527,2.120528934010228,2.0946695993805298
49831045597052.93,1.9590455761837857,2.050580880756686,2.025733414477789
50408061910267.01,1.8947198573325583,1.9826821825630292,1.9588054090652638
50991759757486.96,1.832247016500579,1.916781838790961,1.8938362193613438
51582216507230.61,1.7715828231112671,1.8528297536200755,1.830777341087931
52179510423900.15,1.712683776778879,1.7907767302267623,1.7695811234455934
52783720678157.695,1.6555071011697886,1.730574465174528,1.710200763345775
53394927357417.56,1.6000107382377218,1.672175542996135,1.6525902998833422
54013211476463.48,1.5461533428134175,1.6155334309298772,1.596704609016748
54638654988185.51,1.4938942775181288,1.5606024737638666,1.5424993984139759
55271340794443.45,1.4431936079941572,1.5073378887700244,1.489931202449149
55911352757056.08,1.3940120984151294,1.4556957606750214,1.4389573773013327
56558775708915.33,1.3463112072567043,1.4056330366366985,1.389536096127458
