,nu_e,nu_mu,nu_tau
101157945425990.03,0.7149295754114211,0.7864764506887598,0.7670918600240486
103514216667934.52,0.6783382007062551,0.7455808764440981,0.727361580197638
105925372517728.97,0.6432298933614262,0.7063717222087444,0.6892627598196865
108392691402120.39,0.6095580414946257,0.6687970216383679,0.6527448749723552
110917481526240.1,0.577277677059114,0.6328064600295263,0.6177590511543212
113501081567231.44,0.5463453883359475,0.5983512759120749,0.5842579678282516
116144861384034.14,0.5167192336504071,0.565384163965112,0.5521957642693043
118850222743701.66,0.48835865614542007,0.5338591792425174,0.5215279466599403
121618600064637.03,0.4612243994906064,0.5037316427835332,0.49221129645399947
124451461177138.69,0.4352784244257324,0.4749580487353554,0.4642037800759932
127350308101666.3,0.41048382611183926,0.44749597324156887,0.4374644601342389
130316677845230.0,0.3868047522963402,0.42130398541810393,0.41195340838478267
133352143216332.4,0.36420632239196515,0.39634156088281025,0.38763162081357294
136458313658892.39,0.3426545476462704,0.3725689984196917,0.3644609353087416
139636836105593.62,0.3221162526778839,0.34994734049193343,0.34240395251850453
142889395851110.06,0.3025589987766526,0.3284382984633295,0.3214239606286001
146217717445671.53,0.2839510094863025,0.30800418351199,0.30148486491612575
149623565609443.6,0.26626109913424256,0.2886078443482484,0.28255112306884855
153108746168203.2,0.2494586051168181,0.27021261293909365,0.2645876873630957
156675107010815.0,0.23351332490218984,0.25278225950376076,0.2475599548795407
160324539069004.2,0.2183954588524628,0.2362809580425269,0.23143372697116865
164058977319953.88,0.20407556009074787,0.22067326358983236,0.2161751791787221
167880401812255.9,0.1905244927292052,0.20592410222248947,0.20175084269581467
171790838715758.6,0.1777133998074284,0.1919987745823865,0.1881275982967252
175792361395868.94,0.16561368225159978,0.17886297329049106,0.17527268335055934
179887091512879.1,0.1541969900270752,0.1664828141287468,0.1631537121443115
184077200146895.8,0.1434352263999275,0.1548248802641951,0.15173870923029922
188364908948980.22,0.13330056583156033,0.14385627811623136,0.14099615491900502
192752491319093.66,0.12376548549604278,0.13354470276911812,0.1308950413874556
197242273611485.34,0.1148028097460246,0.12385851017885682,0.12140493722116319
201836636368155.97,0.10638576608846302,0.11476679289033981,0.11249605761554993
206538015581052.7,0.09848805042651655,0.10623945565129139,0.10413933700755608
211348903983664.34,0.091083898565767,0.09824728725469023,0.09630650066422478
216271852372702.44,0.0841481603737946,0.0907620251952034,0.08897013177439872
221309470960564.1,0.07765637264191665,0.08375641029260543,0.08210373090812009
226464430759306.2,0.0715848267167787,0.07720422925229414,0.07568176530410588
231739464996847.97,0.06591062740290009,0.07108034410378461,0.0696797062647724
237137370566165.53,0.06061174045722388,0.06536070844222099,0.06407405387230614
242661009508241.44,0.055667027100011576,0.06002237126771588,0.058842349168489336
248313310529556.78,0.05105626516730387,0.05504346985949721,0.053963174733343756
254097270554930.12,0.04676015762621823,0.050403213492720186,0.04941614516636294
260015956316526.7,0.04276032998544591,0.04608185990772177,0.04518188927115431
266072505979881.4,0.03903931857380393,0.04206068633647163,0.04124202579044628
272270130807791.56,0.03558055174409981,0.03832195665757869,0.03757913439381472
278612116862977.22,0.032368325885304056,0.03484888596769022,0.03417672336813859
285101826750391.0,0.029387777819749467,0.03162560358107061,0.031019195177129314
291742701400116.56,0.026624854828576402,0.028637115229613933,0.028091810791239083
298538261891795.7,0.024066283251203333,0.025869265042738662,0.025380653467804538
305492111321550.94,0.02169953636550372,0.02330869773707921,0.022872592487164275
312607936712394.94,0.019512802072724333,0.020942821331345222,0.02055524721723915
319889510969140.4,0.01749495077452366,0.018759770614236462,0.01841695177807773
327340694878838.6,0.015635503726958603,0.016748371525564954,0.01644672050057898
334965439157827.94,0.013924602079430321,0.014898106558664855,0.01463421431474653
342767786546450.5,0.012352976747297975,0.01319908125001849,0.012969708155976228
