,nu_e,nu_mu,nu_tau
101157945425990.03,0.37161332225263105,0.38577299190301395,0.3819389411013253
103514216667934.52,0.3486305790099829,0.3617246480824985,0.35817902669838253
105925372517728.97,0.32690086380881456,0.3389928573910087,0.33571849930650294
108392691402120.39,0.3063615381112611,0.3175128302755118,0.3144931485735333
110917481526240.1,0.28695325820209705,0.29722308071502823,0.2944420653211307
113501081567231.44,0.26861978340612064,0.2780652301021517,0.27550744660463716
116144861384034.14,0.2513077939496439,0.25998382100314427,0.25763441059015413
118850222743701.66,0.23496671790943205,0.24292614031648005,0.24077082074822348
121618600064637.03,0.21954856674636467,0.22684205142151162,0.2248671189304849
124451461177138.69,0.20500777895987593,0.21168383495869486,0.20987616694243882
127350308101666.3,0.191301071461742,0.1974060379650103,0.19575309630228155
130316677845230.0,0.17838729830894776,0.18396533113964922,0.18245516592435557
133352143216332.4,0.16622731650191797,0.17132037409766235,0.16994162754394254
136458313658892.39,0.15478385861067012,0.15943168853414902,0.15817359876254042
139636836105593.62,0.14402141205557173,0.14826153929055427,0.14711394366026212
142889395851110.06,0.1339061049390323,0.1377738233829419,0.13672716099043944
146217717445671.53,0.1244055983918276,0.1279339671068438,0.12697928002940367
149623565609443.6,0.115488985470751,0.11870883138250074,0.11783776420976147
153108746168203.2,0.10712669671206874,0.11006662553160343,0.10927142270340887
156675107010815.0,0.09929041251175416,0.10197682968514199,0.10125033014438722
160324539069004.2,0.09195298255759454,0.09441012599658076,0.09374575467750804
164058977319953.88,0.08508835257913397,0.08733833877503971,0.08673009448608257
167880401812255.9,0.07867149870059739,0.08073438355187584,0.08017682288331371
171790838715758.6,0.07267836966940545,0.07457222494467838,0.07406044193967282
175792361395868.94,0.0670858371832406,0.0688268429892509,0.06835644446444113
179887091512879.1,0.061871654441116926,0.06347420737393575,0.06304128396163054
184077200146895.8,0.05701442289327997,0.05849125874486367,0.05809235194695836
188364908948980.22,0.05249356695767954,0.05385589597352432,0.05348796175573558
192752491319093.66,0.048289316209426086,0.04954696801525092,0.049207337710741636
197242273611485.34,0.04438269424630594,0.04554426877280418,0.04523060828232758
201836636368155.97,0.040755513107655315,0.041828533245868466,0.041538801688923536
206538015581052.7,0.03739037180963156,0.038381433228684286,0.03811384228829366
211348903983664.34,0.034270657299777955,0.03518557093606713,0.03493854612542255
216271852372702.44,0.03138054597532656,0.03222446919600103,0.031996614146924375
221309470960564.1,0.028705003900952212,0.02948255722994399,0.029272621866526974
226464430759306.2,0.026229784032509248,0.026945151506065867,0.0267520046479228
231739464996847.97,0.023941419110106554,0.024598431639142018,0.024421038221108846
237137370566165.53,0.021827209392357584,0.02242941175486937,0.02226681450745506
242661009508241.44,0.0198752049942468,0.02042590807924527,0.020277213237561008
248313310529556.78,0.01807418316500975,0.018576503716256625,0.018440870149435663
254097270554930.12,0.01641362130277849,0.016870511634746205,0.016747142722703046
260015956316526.7,0.01488366677887939,0.015297936818683992,0.01518607443276027
266072505979881.4,0.013475104718925072,0.013849438387212837,0.013748358422998468
272270130807791.56,0.0121793247938592,0.012516292307705764,0.012425301335489195
278612116862977.22,0.010988287879292095,0.011290355145434663,0.011208787857352123
285101826750391.0,0.009894493216499585,0.010164029140691457,0.010091246367726577
291742701400116.56,0.008890946503876727,0.009130228786484257,0.009065615928774872
298538261891795.7,0.00797112918696754,0.00818234899561358,0.008125314758841049
305492111321550.94,0.007128969100190772,0.007314234888073042,0.007264210252295057
312607936712394.94,0.0063588125356490105,0.006520153191114444,0.006476590561209849
319889510969140.4,0.005655397763348429,0.005794765218934235,0.00575713772156568
327340694878838.6,0.005013829993917777,0.005133101382325766,0.0051009022854886735
334965439157827.94,0.004429557753458395,0.0045305371680183296,0.004503279407429419
342767786546450.5,0.003898350626270514,0.003982770520615081,0.0039599863234346805
350751873952567.94,0.0034162783124442294,0.0034858005559302956,0.0034670411572792284
358921934645005.0,0.0029796909418882207,0.0030359075320623803,0.003020742983951803
367282300498084.25,0.0025852005832201455,0.0026296340031439734,0.0026176530791142657
375837404288443.56,0.0022296638842428176,0.002263767079841598,0.0022545772820579653
