,nu_e,nu_mu,nu_tau,total,with_resolution,interval_center
"(11220.185, 14125.375]",232.41311534028588,0.0,0.0,232.41311534028588,467.5179351227121,12589.254175461507
"(14125.375, 17782.794]",1653.7095312536662,57.015680252173766,269.7048412478053,1980.4300527536452,3458.2063711026344,15848.931629537368
"(17782.794, 22387.211]",9975.280287297992,857.4941673161604,1920.7234015201539,12753.497856134307,14445.884470002451,19952.62292149917
"(22387.211, 28183.829]",23351.546525728292,2057.0877741594177,6007.2175631911805,31415.85186307889,32885.44663592653,25118.86395940149
"(28183.829, 35481.339]",35021.7144815754,4808.831342175945,11735.40122966234,51565.94705341368,51840.98999004031,31622.776460441153
"(35481.339, 44668.359]",39645.151153336476,6602.252165864787,17502.233640108076,63749.63695930933,63723.68488612276,39810.71700249445
"(44668.359, 56234.133]",41962.79593869568,8298.577528160811,19269.623527643947,69530.99699450043,68390.78105742687,50118.723456386506
"(56234.133, 70794.578]",38021.51085351592,8811.3329035418,18751.089882599983,65583.93363965771,63655.94520449855,63095.73452247683
"(70794.578, 89125.094]",27346.749035863904,7804.618663429295,15182.966056598438,50334.33375589164,49243.786395379764,79432.82330963902
"(89125.094, 112201.845]",16984.325422334296,5687.774368789007,10322.904542037748,32995.00433316105,31932.5097714042,99999.99991299215
"(112201.845, 141253.754]",7943.40817833039,3013.2476316883294,5431.416775359566,16388.072585378286,16060.333372753885,125892.54073207089
"(141253.754, 177827.941]",2388.4897757595654,1111.6586615936778,1769.5549224667307,5269.703359819974,5394.089458896677,158489.31898503605
"(177827.941, 223872.114]",195.64650767754293,104.72788548727875,153.60608572461055,453.9804788894322,836.4658486473219,199526.23155850277
"(223872.114, 281838.293]",306.1344843375252,185.42319358340552,253.4349640604841,744.9926419814149,860.842730293782,251188.6431749282
"(281838.293, 354813.389]",674.0710173031416,447.96787966639323,602.9143708758351,1724.95326784537,1498.9299736743028,316227.76584181376
"(354813.389, 446683.592]",281.64443542876734,204.84399047036788,255.29993599428047,741.7883618934156,718.9597677490768,398107.1703551863
"(446683.592, 562341.325]",10.878989353200497,8.170542371370445,10.021068907090097,29.070600631661033,103.3417949941545,501187.23345775617
"(562341.325, 707945.784]",69.22014877491522,57.06501228472148,64.89660139458964,191.18176245422632,220.65879551147873,630957.3442022239
"(707945.784, 891250.938]",172.8701394237122,146.71342353375618,170.82475274208934,490.40831569955776,486.68724823826363,794328.2344491761
"(891250.938, 1122018.454]",217.54937887678574,182.2202520641581,214.96837800866112,614.738008949605,600.2734656878188,999999.9997904048
"(1122018.454, 1412537.545]",201.18843656759452,175.90457145573896,204.94296898673704,582.0359770100705,570.9496228644075,1258925.4117928732
"(1412537.545, 1778279.41]",172.9634228043911,147.3465841104408,166.03512302631808,486.34512994115,479.8389232053218,1584893.1926554067
"(1778279.41, 2238721.139]",134.09038034608074,113.37110231761055,137.35493222994668,384.8164148936379,378.5315308065618,1995262.3151394024
"(2238721.139, 2818382.931]",102.20859192118641,85.67102424529455,96.17743128847319,284.05704745495416,280.00072123094515,2511886.431633898
"(2818382.931, 3548133.892]",73.81181935691008,61.255242605600046,71.02403504693905,206.0910970094492,203.4752989669997,3162277.6598703973
"(3548133.892, 4466835.922]",57.67860361152594,42.38591190891495,48.749943434226,148.8144589546669,150.21459222134425,3981071.705565132
"(4466835.922, 5623413.252]",60.42746922230743,28.209773877647837,33.752903638206305,122.39014673816158,174.01387641478686,5011872.336590831
"(5623413.252, 7079457.844]",328.63915735483715,17.898873068169447,23.234521450970668,369.77255187397725,280.06314330975283,6309573.44492676
"(7079457.844, 8912509.381]",24.93576337438359,10.797408253656215,13.717278204895038,49.45044983293484,81.78753592591777,7943282.347181424
