,nu_e,nu_mu,nu_tau,total,with_resolution,interval_center
"(114206.891, 148962.49]",550013.3355294553,221559.65512862746,392530.302692581,1164103.2933506637,1158130.1427628617,130432.1389018772
"(148962.49, 194294.961]",359462.34908590524,179606.4246812306,283456.58305873594,822525.3568258717,802905.0178711324,170125.42780258597
"(194294.961, 253423.074]",264552.5374774595,163082.47744007947,229439.28329103236,657074.2982085714,645250.6154619376,221898.23406086428
"(253423.074, 330545.135]",69119.1311065741,48996.60804828459,64348.061522931974,182463.80067779068,179826.15568074968,289426.6128182497
"(330545.135, 431137.089]",24252.067993452358,18419.814776485204,23355.99611493621,66027.87888487377,66939.57884568314,377505.3208724508
"(431137.089, 562341.325]",4121.3611195930525,3225.531276158247,4093.9186677030725,11440.811063454374,15605.133930350463,492388.2633500751
"(562341.325, 733473.817]",3460.748083926878,2765.855226657784,3173.4307291648465,9400.03403974951,10474.477379350632,642232.5420784807
"(733473.817, 956685.586]",7552.6020680324655,6450.110454232509,7496.207714460132,21498.920236725105,20616.956607980523,837677.6399261841
"(956685.586, 1247825.47]",7333.714661053209,6495.511070342256,7557.1171275740535,21386.342858969518,20293.833771361737,1092600.8607870832
"(1247825.47, 1627565.448]",5673.756958855232,5458.859625548168,6165.953004800775,17298.569589204173,16692.3822098674,1425102.6700228867
"(1627565.448, 2122868.422]",946.8029410874587,911.668179081016,997.0547459322119,2855.5258661006865,2931.5499911447623,1858791.891067282
"(2122868.422, 2768902.684]",56.1783938008411,51.100782840847984,59.94455116992563,167.2237278116147,428.6919886082627,2424462.0169131635
"(2768902.684, 3611538.989]",163.79701867637021,150.15782825777785,157.96787715888127,471.92272409302933,432.9733204808116,3162277.6601703945
"(3611538.989, 4710607.542]",163.31052263109754,117.41422169585174,134.64084343168813,415.3655877586374,511.5141765789082,4124626.3830570714
"(4710607.542, 6144146.161]",590.3202719597638,280.10388666543906,329.68856201488086,1200.1127206400838,1923.0948964310148,5379838.403256825
"(6144146.161, 8013941.242]",5104.150547139243,420.5740468861666,517.3163162840228,6042.040910309433,5130.726988544582,7017038.286664387
"(8013941.242, 10452754.953]",432.700451938816,341.3666026311216,396.6886188472871,1170.755673417225,1275.4431190304276,9152473.108967131
"(10452754.953, 13633751.836]",209.23260362795037,195.19671798767342,199.0190847082153,603.4484063238392,564.6251438896992,11937766.417203926
"(13633751.836, 17782794.1]",148.42386093291861,138.5829768316986,141.2618611897687,428.2686989543859,418.21935253404365,15570684.047596784
"(17782794.1, 23194478.661]",103.008643932508,96.00201433919466,97.90848986713422,296.9191481388369,293.22597039075214,20309176.208930943
"(23194478.661, 30253054.571]",97.1698077158373,90.1539561409292,92.06166198099608,279.38542583776257,276.0107565855751,26489692.876232594
"(30253054.571, 39459706.091]",39.708666513290446,36.59968465662301,37.44440187613701,113.75275304605046,112.35256175258584,34551072.94609885
"(39459706.091, 51468138.568]",26.709106540484516,24.435263190114092,25.052677591974806,76.19704732257341,75.22386592552004,45065703.37789195
"(51468138.568, 67130993.868]",17.69093025163927,15.997852305305797,16.457273113972395,50.14605567091746,49.47055894538752,58780160.7228645
"(67130993.868, 87560391.014]",11.43828001143508,10.140591672758699,10.492493391856213,32.07136507604999,31.758022309502547,76668220.74523783
