,nu_e,nu_mu,nu_tau,total,interval_center
"(112201.845, 141253.754]",8.998868182325065,3.466596179275757,6.219010863754933,18.684475225355754,125892.54073207089
"(141253.754, 177827.941]",3.594623490859052,1.796064246812306,2.8345658305873593,8.225253568258719,158489.31898503605
"(177827.941, 223872.114]",2.032662762971508,1.214715759461976,1.7406164094478151,4.987994931881299,199526.23155850277
"(223872.114, 281838.293]",1.029094726525504,0.7067018247869338,0.935519087241552,2.6713156385539896,251188.6431749282
"(281838.293, 354813.389]",0.27495919634332494,0.19937327063473073,0.26173795145027606,0.7360704184283318,316227.76584181376
"(354813.389, 446683.592]",0.2765145518902,0.21084242402888365,0.2676805491321216,0.7550375250512052,398107.1703551863
"(446683.592, 562341.325]",0.007219739240254046,0.005611036497550868,0.0068185986942713,0.019649374432076216,501187.23345775617
"(562341.325, 707945.784]",0.034607480839268775,0.02765855226657784,0.03173430729164847,0.0940003403974951,630957.3442022239
"(707945.784, 891250.938]",0.07552602068032466,0.06450110454232509,0.07496207714460132,0.21498920236725105,794328.2344491761
"(891250.938, 1122018.454]",0.07333714661053209,0.06495511070342255,0.07557117127574053,0.21386342858969518,999999.9997904048
"(1122018.454, 1412537.545]",0.044678784555118894,0.043060646781932166,0.048752699822846496,0.13649213115989756,1258925.4117928732
"(1412537.545, 1778279.41]",0.018846171798949977,0.018096575395726906,0.019852608083727366,0.05679535527840424,1584893.1926554067
"(1778279.41, 2238721.139]",0.0026806426453580344,0.0025480558686327747,0.0030247696007560066,0.008253468114746816,1995262.3151394024
"(2238721.139, 2818382.931]",0.0014862257280415995,0.0013425466182324097,0.0014229072306935439,0.004251679576967553,2511886.431633898
"(2818382.931, 3548133.892]",0.0007135283967305138,0.0006700394927538486,0.0007562170525945253,0.0021397849420788876,3162277.6598703973
"(3548133.892, 4466835.922]",0.0016331052263109753,0.0011741422169585173,0.0013464084343168812,0.004153655877586374,3981071.705565132
"(4466835.922, 5623413.252]",0.005903202719597637,0.0028010388666543907,0.0032968856201488093,0.012001127206400838,5011872.336590831
"(5623413.252, 7079457.844]",0.02436378859011089,0.0014881793874498034,0.0018437634510685484,0.027695731428629244,6309573.44492676
"(7079457.844, 8912509.381]",0.02833844326913445,0.003844799051529519,0.0047651631498964965,0.03694840547056047,7943282.347181424
"(8912509.381, 11220184.543]",0.002666278131535251,0.0022864280561935603,0.002531122750348054,0.007483828938076865,9999999.999801934
"(11220184.543, 14125375.446]",0.002092326036279504,0.0019519671798767344,0.0019901908470821533,0.006034484063238392,12589254.117829258
"(14125375.446, 17782794.1]",0.001484238609329186,0.0013858297683169859,0.0014126186118976868,0.004282686989543859,15848931.924310032
"(17782794.1, 22387211.386]",0.0010300864393250797,0.0009600201433919466,0.000979084898671342,0.0029691914813883688,19952623.14961152
"(22387211.386, 28183829.313]",0.0007073542770528406,0.0006569028184554606,0.0006706230089661466,0.0020348801044744475,25118864.315431822
"(28183829.313, 35481338.923]",0.0004822172698622612,0.00044573182324056273,0.00045564807432498666,0.0013835971674278106,31622776.60172388
"(35481338.923, 44668359.215]",0.0003261951321973999,0.00029964660435938836,0.00030685761676084444,0.0009326993533176327,39810717.05510622
"(44668359.215, 56234132.519]",0.00021787030566278425,0.00019830824788381017,0.00020361818990407367,0.000619796743450668,50118723.362657644
"(56234132.519, 70794578.438]",0.0001427873935146882,0.00012802705129566472,0.00013203100005092707,0.00040284544486127996,63095734.447815344
"(70794578.438, 89125093.813]",9.086708281348694e-05,7.935763675083472e-05,8.247771879565195e-05,0.0002527024383599736,79432823.47202909
