,nu_e,nu_mu,nu_tau,total,interval_center,with_resolution
"(112201.845, 141253.754]",89.98868182325066,34.665961792757564,62.19010863754933,186.84475225355754,125892.54073207089,172.27290381233115
"(141253.754, 177827.941]",35.94623490859052,17.960642468123062,28.34565830587359,82.25253568258718,158489.31898503605,85.86351719294699
"(177827.941, 223872.114]",20.326627629715077,12.147157594619761,17.406164094478154,49.87994931881299,199526.23155850277,50.340238990338044
"(223872.114, 281838.293]",10.290947265255038,7.067018247869337,9.355190872415521,26.713156385539897,251188.6431749282,26.903873422140723
"(281838.293, 354813.389]",2.7495919634332493,1.9937327063473074,2.6173795145027605,7.360704184283318,316227.76584181376,8.337810347657584
"(354813.389, 446683.592]",2.7651455189020004,2.1084242402888367,2.6768054913212156,7.550375250512053,398107.1703551863,7.173197621891052
"(446683.592, 562341.325]",0.07219739240254047,0.056110364975508684,0.068185986942713,0.19649374432076216,501187.23345775617,0.6013633026130362
"(562341.325, 707945.784]",0.3460748083926878,0.2765855226657784,0.3173430729164847,0.9400034039749509,630957.3442022239,0.9633223519771195
"(707945.784, 891250.938]",0.7552602068032466,0.6450110454232509,0.7496207714460131,2.1498920236725105,794328.2344491761,2.0888347057988548
"(891250.938, 1122018.454]",0.7333714661053209,0.6495511070342257,0.7557117127574053,2.138634285896952,999999.9997904048,2.100511524070831
"(1122018.454, 1412537.545]",0.446787845551189,0.43060646781932166,0.4875269982284649,1.3649213115989756,1258925.4117928732,1.3637585723731278
"(1412537.545, 1778279.41]",0.18846171798949976,0.18096575395726905,0.19852608083727363,0.5679535527840425,1584893.1926554067,0.5835309971429604
"(1778279.41, 2238721.139]",0.026806426453580345,0.025480558686327745,0.030247696007560068,0.08253468114746816,1995262.3151394024,0.10480473046040725
"(2238721.139, 2818382.931]",0.014862257280415996,0.013425466182324097,0.014229072306935438,0.04251679576967553,2511886.431633898,0.04346174272112083
"(2818382.931, 3548133.892]",0.007135283967305139,0.0067003949275384845,0.007562170525945253,0.021397849420788876,3162277.6598703973,0.02346073220598695
"(3548133.892, 4466835.922]",0.016331052263109755,0.011741422169585174,0.013464084343168812,0.04153655877586374,3981071.705565132,0.04445335897251723
"(4466835.922, 5623413.252]",0.059032027195976375,0.028010388666543908,0.032968856201488095,0.12001127206400836,5011872.336590831,0.12393483851071532
"(5623413.252, 7079457.844]",0.24363788590110888,0.014881793874498036,0.018437634510685485,0.2769573142862924,6309573.44492676,0.2737363491961438
"(7079457.844, 8912509.381]",0.2833844326913445,0.03844799051529519,0.047651631498964966,0.36948405470560464,7943282.347181424,0.35012542941839725
"(8912509.381, 11220184.543]",0.02666278131535251,0.022864280561935603,0.02531122750348054,0.07483828938076866,9999999.999801934,0.08884590520959121
"(11220184.543, 14125375.446]",0.02092326036279504,0.019519671798767346,0.01990190847082153,0.06034484063238391,12589254.117829258,0.06019361453295588
"(14125375.446, 17782794.1]",0.014842386093291861,0.01385829768316986,0.014126186118976869,0.04282686989543859,15848931.924310032,0.04304602067820811
"(17782794.1, 22387211.386]",0.010300864393250798,0.009600201433919466,0.00979084898671342,0.02969191481388369,19952623.14961152,0.029881506879504475
"(22387211.386, 28183829.313]",0.007073542770528406,0.006569028184554607,0.006706230089661466,0.02034880104474448,25118864.315431822,0.02049031526467812
"(28183829.313, 35481338.923]",0.0048221726986226125,0.004457318232405628,0.004556480743249866,0.013835971674278106,31622776.60172388,0.013936164235746337
"(35481338.923, 44668359.215]",0.0032619513219739986,0.0029964660435938834,0.0030685761676084444,0.009326993533176326,39810717.05510622,0.009395991135297934
"(44668359.215, 56234132.519]",0.0021787030566278428,0.0019830824788381017,0.0020361818990407366,0.006197967434506681,50118723.362657644,0.0062459430901454695
"(56234132.519, 70794578.438]",0.0014278739351468819,0.0012802705129566472,0.0013203100005092707,0.0040284544486128,63095734.447815344,0.004061858594656841
"(70794578.438, 89125093.813]",0.0009086708281348694,0.0007935763675083473,0.0008247771879565196,0.0025270243835997363,79432823.47202909,0.0024757446676704027
